Designator,Mid X,Mid Y,Rotation,Layer
C1,94.13,-69.96,180.0,top
C10,89.6,-57.6,90.0,top
C13,90.67,-64.06,0.0,top
C2,90.555,-69.585,180.0,top
C3,90.655,-63.135,180.0,top
C4,91.425,-61.65,0.0,top
C5,100.72,-72.3,0.0,top
C6,100.225,-70.625,180.0,top
C7,100.775,-58.475,90.0,top
C8,101.35,-65.005,90.0,top
C9,89.625,-55.005,270.0,top
R1,94.14,-69.01,0.0,top
R10,92.65,-63.99,90.0,top
R11,91.29,-65.975,0.0,top
R2,94.14,-68.06,0.0,top
R3,94.14,-67.11,180.0,top
R4,94.14,-66.135,0.0,top
R5,90.59,-70.535,0.0,top
R6,90.175,-67.79,90.0,top
R7,103.09,-73.8,180.0,top
R8,103.09,-74.775,0.0,top
R9,90.69,-65.0,0.0,top
SW1,109.55,-75.37,0.0,top
U3,94.325,-56.5,0.0,top
